City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Toktogul,41.8708,72.9402,43.16,42,98,1.34,1616196622
Sayville,40.7359,-73.0821,39.2,28,1,12.66,1616196622
Norman Wells,65.282,-126.8329,-0.4,71,75,20.71,1616196622
Bluff,-46.6,168.3333,57.0,84,97,4.0,1616196623
Busselton,-33.65,115.3333,71.33,43,96,4.05,1616196461
Hermanus,-34.4187,19.2345,64.0,86,100,11.92,1616196623
Batagay-Alyta,67.8006,130.4114,-3.96,76,100,5.03,1616196623
Jamestown,42.097,-79.2353,33.8,37,1,6.15,1616196622
Atuona,-9.8,-139.0333,80.26,74,34,12.3,1616196624
Hualmay,-11.0964,-77.6139,71.67,78,97,10.31,1616196624
Cockburn Town,21.4612,-71.1419,77.0,69,40,10.36,1616196624
Sovetskiy,61.3614,63.5842,19.18,94,91,8.28,1616196625
Bredasdorp,-34.5322,20.0403,62.6,94,100,1.14,1616196625
Çan,40.0333,27.0524,48.99,100,75,2.3,1616196625
Klaksvík,62.2266,-6.589,44.6,100,75,19.57,1616196469
Ushuaia,-54.8,-68.3,44.6,81,75,35.68,1616196453
Kentwood,42.8695,-85.6448,48.99,31,1,10.36,1616196460
Airai,-8.9266,125.4092,68.97,74,20,2.04,1616196626
Amlapura,-8.45,115.6167,80.6,83,40,12.66,1616196626
Ribeira Grande,38.5167,-28.7,60.42,86,99,20.04,1616196348
Boromlya,50.6184,34.9704,31.37,92,96,3.91,1616196626
Castro,-24.7911,-50.0119,63.41,97,16,9.35,1616196516
Lüderitz,-26.6481,15.1594,64.24,76,39,23.76,1616196627
Punta Arenas,-53.15,-70.9167,44.6,81,75,26.46,1616196627
Kingsport,36.5484,-82.5618,51.8,50,75,9.22,1616196627
Guerrero Negro,27.9769,-114.0611,69.62,46,4,16.04,1616196459
Tiksi,71.6872,128.8694,-20.69,92,100,12.59,1616196628
Vangaindrano,-23.35,47.6,74.41,90,100,2.73,1616196628
Los Llanos de Aridane,28.6585,-17.9182,62.6,63,0,9.22,1616196453
Moree,-29.4667,149.85,77.0,61,90,10.36,1616196628
Palekastro,35.2,26.25,57.0,82,99,8.7,1616196629
Qaanaaq,77.484,-69.3632,-6.59,97,100,1.66,1616196629
Port Alfred,-33.5906,26.891,68.65,84,97,13.56,1616196352
Hilo,19.7297,-155.09,78.8,47,90,11.5,1616196625
Pidhorodne,48.5753,35.1068,33.8,75,75,4.47,1616196629
São Filipe,14.8961,-24.4956,71.2,77,13,4.74,1616196486
Puerto Ayora,-0.7393,-90.3518,82.4,74,40,6.91,1616196460
Barrow,71.2906,-156.7887,-5.8,84,90,2.04,1616196630
Cieza,38.24,-1.4199,45.0,95,100,7.45,1616196630
Teya,60.3778,92.6267,24.42,90,100,11.77,1616196630
Hobart,-42.8794,147.3294,64.99,72,75,6.91,1616196631
Arraial do Cabo,-22.9661,-42.0278,77.0,88,20,10.36,1616196631
Tessalit,20.1986,1.0114,67.86,11,0,4.03,1616196343
Port Lincoln,-34.7333,135.8667,73.56,63,0,15.19,1616196631
Aykhal,66.0,111.5,2.43,96,100,13.47,1616196632
Bethel,41.3712,-73.414,36.0,34,7,6.82,1616196632
Mushie,-3.0167,16.9,72.23,95,100,3.31,1616196632
Gobabis,-22.45,18.9667,65.77,78,22,4.45,1616196632
Albany,42.6001,-73.9662,36.0,27,0,5.99,1616196606
Rikitea,-23.1203,-134.9692,81.03,75,94,11.39,1616196633
Cabo San Lucas,22.8909,-109.9124,79.0,25,1,4.25,1616196633
Mahébourg,-20.4081,57.7,77.0,78,75,12.66,1616196633
Leningradskiy,69.3833,178.4167,-13.59,77,98,2.62,1616196471
College,64.8569,-147.8028,14.0,66,20,1.19,1616196479
Vila do Maio,15.1333,-23.2167,71.6,53,0,12.66,1616196634
Jalu,29.0331,21.5482,72.9,18,0,14.09,1616196634
Vikulovo,56.8167,70.6107,22.87,91,100,9.71,1616196634
Brae,60.3964,-1.353,44.6,93,90,18.41,1616196635
Xuanwu,32.069,118.8138,48.2,100,90,4.47,1616196635
Hithadhoo,-0.6,73.0833,82.78,72,100,11.34,1616196635
Moyo,3.6609,31.7247,68.47,80,75,0.34,1616196635
Severo-Kuril'sk,50.6789,156.125,28.09,85,100,19.75,1616196636
Coos Bay,43.3665,-124.2179,53.01,71,75,18.41,1616196395
Abhā,18.2164,42.5053,62.6,82,0,1.66,1616196529
Codrington,-38.2667,141.9667,69.69,65,5,9.62,1616196636
Cape Town,-33.9258,18.4232,66.2,68,20,19.57,1616196637
Thompson,55.7435,-97.8558,51.8,40,75,13.8,1616196609
Tuktoyaktuk,69.4541,-133.0374,-11.2,77,75,10.36,1616196637
Asău,46.4333,26.4,32.0,69,99,0.09,1616196637
Peniche,39.3558,-9.3811,55.99,79,0,15.99,1616196638
Shanting,35.0753,117.4578,43.34,76,100,7.4,1616196638
East London,-33.0153,27.9116,70.81,92,98,13.31,1616196638
Tasiilaq,65.6145,-37.6368,24.8,68,18,14.97,1616196566
Ampanihy,-24.7,44.75,74.25,73,0,1.79,1616196638
Cootehill,54.0725,-7.0819,45.0,90,96,1.01,1616196639
Bengkulu,-3.8004,102.2655,75.87,88,100,3.71,1616196389
Chui,-33.6971,-53.4616,63.27,81,0,7.38,1616196467
Jingdezhen,29.2947,117.2079,52.32,92,88,5.17,1616196639
Souillac,-20.5167,57.5167,77.0,78,75,12.66,1616196533
Saldanha,-33.0117,17.9442,60.8,77,76,8.05,1616196541
Berlevåg,70.8578,29.0864,33.8,80,75,31.07,1616196640
Suntar,62.1444,117.6319,11.86,92,56,8.23,1616196640
Brainerd,46.358,-94.2008,51.8,25,1,17.27,1616196640
Saint-Philippe,-21.3585,55.7679,77.0,78,0,4.61,1616196641
Inírida,3.8653,-67.9239,76.98,83,72,1.83,1616196641
Yellowknife,62.456,-114.3525,28.4,59,90,13.8,1616196641
Ponta Delgada,37.7333,-25.6667,57.2,82,20,8.05,1616196630
Dera Bugti,29.0307,69.151,69.28,30,1,2.64,1616196641
Kaiyuan,23.6977,103.3037,63.32,72,100,3.94,1616196642
Faanui,-16.4833,-151.75,82.9,66,28,7.14,1616196642
Izazi,-7.2,35.7333,62.6,82,1,1.97,1616196642
Pangnirtung,66.1451,-65.7125,-14.8,76,1,3.44,1616196643
Zheleznogorsk,52.331,35.3711,25.5,89,100,3.13,1616196643
Porto Santo,33.072,-16.3415,59.0,67,75,10.36,1616196643
Andenes,69.3143,16.1194,36.0,93,75,21.85,1616196644
Yar-Sale,66.8333,70.8333,-21.46,98,64,8.93,1616196644
Saint Paul Harbor,57.79,-152.4072,32.0,29,1,5.75,1616196644
Acapulco de Juárez,16.8634,-99.8901,84.2,65,1,10.36,1616196644
Nara,34.6851,135.8049,55.4,54,0,1.14,1616196645
Atasū,48.6814,71.6433,31.69,75,100,7.14,1616196645
Hong Kong,22.2855,114.1577,73.99,88,41,6.38,1616196512
San Cristobal,7.7669,-72.225,78.8,83,40,5.75,1616196451
Chokurdakh,70.6333,147.9167,-12.06,88,100,11.03,1616196645
Kaseda-shirakame,31.4167,130.3167,60.8,88,75,12.66,1616196545
Kapaa,22.0752,-159.319,73.4,68,75,19.57,1616196346
Port Elizabeth,-33.918,25.5701,68.0,73,75,8.05,1616196646
Palmer,42.1584,-72.3287,37.4,22,1,9.22,1616196647
Padang,-0.9492,100.3543,75.2,100,75,5.88,1616196647
Kruisfontein,-34.0033,24.7314,64.99,85,98,1.01,1616196581
Butaritari,3.0707,172.7902,81.86,77,19,14.52,1616196648
Bafoulabé,13.8065,-10.8321,83.1,18,4,2.35,1616196648
Fairbanks,64.8378,-147.7164,15.01,72,1,5.75,1616196605
Caluquembe,-13.7833,14.6833,60.82,94,100,2.33,1616196648
Port Shepstone,-30.7414,30.455,72.55,80,75,3.6,1616196649
Golborne,53.4769,-2.5965,48.99,73,92,1.99,1616196649
Chibuto,-24.6867,33.5306,70.61,90,2,2.39,1616196649
Saint-Augustin,51.226,-58.6502,12.65,83,100,16.35,1616196650
Saint George,37.1041,-113.5841,75.0,23,1,9.22,1616196650
Brandenburg,52.4167,12.55,28.0,75,4,5.57,1616196650
Dikson,73.5069,80.5464,-28.48,85,3,8.86,1616196517
Saskylakh,71.9167,114.0833,-34.08,98,33,4.79,1616196489
Narsaq,60.9167,-46.05,37.4,41,90,16.11,1616196651
Vaini,-21.2,-175.2,84.2,79,40,9.22,1616196651
Aklavik,68.2191,-135.0107,-2.2,60,40,4.61,1616196651
Morondava,-20.2833,44.2833,78.8,82,45,3.04,1616196651
Avarua,-21.2078,-159.775,84.2,70,40,14.97,1616196652
Monrovia,6.3005,-10.7969,77.0,94,40,7.76,1616196652
Sarkand,45.41,79.9186,39.09,32,0,8.05,1616196652
Khanpur,28.6453,70.6567,70.11,27,1,4.74,1616196653
Khatanga,71.9667,102.5,-28.03,98,100,5.77,1616196453
Waterloo,43.4668,-80.5164,39.99,41,1,5.75,1616196653
Faya,18.3851,42.4509,62.6,82,0,2.59,1616196653
Gravdal,68.1214,13.5031,41.0,70,75,42.5,1616196654
Quatre Cocos,-20.2078,57.7625,77.0,78,75,12.66,1616196654
Safi,32.2994,-9.2372,57.15,74,16,12.21,1616196649
Gillette,44.2911,-105.5022,64.4,22,1,13.8,1616196465
Haines Junction,60.7522,-137.5108,14.0,41,100,14.97,1616196654
Altamira,-3.2033,-52.2064,71.96,94,100,1.61,1616196654
Nishihara,26.1842,127.7558,73.4,83,20,5.75,1616196655
Platteville,42.7342,-90.4785,51.01,37,1,6.91,1616196655
George Town,5.4112,100.3354,80.01,64,20,2.3,1616196655
Esperance,-33.8667,121.9,60.8,94,0,13.8,1616196490
Flinders,-34.5833,150.8552,73.0,92,100,3.0,1616196656
Port Blair,11.6667,92.75,78.44,75,37,3.42,1616196540
New Norfolk,-42.7826,147.0587,64.99,72,75,6.91,1616196656
Fortuna,40.5982,-124.1573,53.01,81,75,6.91,1616196656
Bayir,37.2687,28.2167,51.8,87,75,3.44,1616196528
Marzuq,14.4,46.4667,59.07,42,37,3.51,1616196657
Torbay,47.6666,-52.7314,44.01,93,90,37.98,1616196657
Alyangula,-13.8483,136.4192,83.59,74,73,9.98,1616196657
Pisco,-13.7,-76.2167,75.2,64,0,17.27,1616196657
Muzhi,65.3667,64.6667,-20.0,99,100,8.61,1616196658
Mataura,-46.1927,168.8643,57.0,85,99,4.0,1616196512
Deputatsky,69.3,139.9,-2.83,97,100,2.55,1616196658
Shimoda,34.6667,138.95,55.4,76,75,14.97,1616196658
Champerico,14.3,-91.9167,89.6,58,40,9.22,1616196659
Avera,33.194,-82.5271,57.2,62,90,9.22,1616196659
Lata,40.1629,-8.3327,55.99,66,0,9.22,1616196659
Yeysk,46.6989,38.2792,38.64,90,82,9.26,1616196660
Kaitangata,-46.2817,169.8464,59.04,68,66,8.75,1616196660
Altay,47.8667,88.1167,15.33,36,0,5.66,1616196660
Provideniya,64.3833,-173.3,-4.2,89,96,17.13,1616196660
Grootfontein,-19.5667,18.1167,63.01,75,12,3.33,1616196661
Alofi,-19.0595,-169.9187,80.6,89,100,8.05,1616196661
Bolivar,37.6145,-93.4105,54.0,39,0,5.99,1616196661
Chateaubelair,13.2833,-61.25,77.0,83,40,10.36,1616196662
Hamilton,39.1834,-84.5333,48.2,37,1,12.66,1616196533
Morón,-34.6534,-58.6198,70.0,68,81,5.01,1616196662
Nassau,40.7507,-73.5829,39.99,26,1,11.5,1616196662
Humaitá,-7.5061,-63.0208,74.7,93,55,1.54,1616196663
Morant Bay,17.8815,-76.4093,80.6,78,20,16.11,1616196663
Yumen,40.2833,97.2,23.05,34,92,7.85,1616196663
Andra,62.5147,65.8878,14.05,93,80,10.29,1616196664
Acajutla,13.5928,-89.8275,89.6,37,20,4.61,1616196478
Ponta do Sol,32.6667,-17.1,59.0,58,20,8.05,1616196664
Lebu,-37.6167,-73.65,55.69,78,31,8.32,1616196664
Saint Anthony,45.0205,-93.218,50.0,25,1,9.22,1616196664
Tara,56.8944,74.371,19.09,87,100,11.99,1616196665
Tilichiki,60.4667,166.1,-4.47,91,95,9.86,1616196665
Rosetown,51.5501,-108.0014,53.6,54,100,10.36,1616196665
Quelimane,-17.8786,36.8883,74.23,93,0,1.01,1616196666
Chaoyang,41.5703,120.4586,41.14,60,80,3.58,1616196666
Mitsamiouli,-11.3847,43.2844,82.51,75,52,6.71,1616196666
Upernavik,72.7868,-56.1549,7.59,80,100,5.01,1616196666
Beira,-19.8436,34.8389,78.8,89,20,6.91,1616196667
Rocky Mountain House,52.3668,-114.9188,51.8,20,77,4.61,1616196667
Kununurra,-15.7667,128.7333,77.0,94,90,9.22,1616196667
Ludhiana,30.9,75.85,63.93,40,0,4.0,1616196610
Key West,24.5557,-81.7826,73.4,73,40,10.36,1616196668
Xining,36.6167,101.7667,22.15,77,99,1.57,1616196668
Sokol,59.4617,40.1206,14.23,96,96,5.41,1616196668
Bambous Virieux,-20.3428,57.7575,77.0,78,75,12.66,1616196521
Orocué,4.7912,-71.3354,84.67,57,91,5.41,1616196669
Vadakku Valliyūr,8.3833,77.65,75.72,71,79,2.28,1616196559
Jining,35.405,116.5814,43.61,80,100,8.48,1616196669
Onverwacht,5.5833,-55.1833,78.8,78,20,5.75,1616196669
Nikolskoye,59.7035,30.7861,17.01,79,0,4.47,1616196670
Goderich,43.7501,-81.7165,32.0,64,0,3.44,1616196670
Bubaque,11.2833,-15.8333,77.68,62,43,14.81,1616196670
Surovatikha,55.7652,43.8984,21.2,93,40,6.71,1616196671
Mtwara,-10.2667,40.1833,75.2,94,20,8.05,1616196671
Wembley,-31.9333,115.8,75.99,33,0,12.66,1616196671
Beringovskiy,63.05,179.3167,-2.25,92,100,16.08,1616196671
Coahuayana Viejo,18.7333,-103.6833,84.2,45,40,8.05,1616196672
Bilecik Province,40.0,30.1667,42.8,100,90,4.61,1616196672
Port-Gentil,-0.7193,8.7815,78.8,94,20,4.61,1616196672
Abu Dhabi,24.4667,54.3667,75.2,88,0,2.3,1616196673
Mercedes,-34.6515,-59.4307,69.01,68,72,1.99,1616196673
Longyearbyen,78.2186,15.6401,26.6,80,75,19.57,1616196673
Conceição do Araguaia,-8.2578,-49.2647,73.4,94,0,3.13,1616196580
Ostrovnoy,68.0531,39.5131,14.81,80,100,34.65,1616196673
Makkah al Mukarramah,21.4267,39.8261,74.68,46,0,6.11,1616196674
Chara,56.9064,118.2631,9.12,73,90,1.66,1616196674
Hambantota,6.1241,81.1185,75.6,80,94,7.45,1616196674
Oranjestad,12.524,-70.027,80.6,74,20,18.41,1616196386
Sitka,57.0531,-135.33,32.0,86,75,5.75,1616196675
Sorong,-0.8833,131.25,82.29,75,87,3.6,1616196675
Clarence Town,-32.5833,151.7833,69.01,100,75,10.36,1616196675
Havelock,34.8791,-76.9013,43.0,63,77,10.0,1616196675
Tuatapere,-46.1333,167.6833,57.0,84,53,4.0,1616196676
Mogadishu,2.0371,45.3438,79.68,83,6,14.12,1616196453
Stanghelle,60.5528,5.7357,39.99,95,100,1.28,1616196676
Morehead,37.2711,-87.1764,54.0,19,1,10.36,1616196676
Alice Town,25.7167,-79.3,76.93,74,0,2.91,1616196677
Alghero,40.5589,8.3181,42.8,93,20,5.75,1616196677
Naryan-Mar,67.6713,53.087,-14.42,77,0,4.07,1616196614
Gonbad-e Kāvūs,37.25,55.1672,52.09,75,3,13.65,1616196678
Uyemskiy,64.4743,40.8524,-0.4,85,90,3.47,1616196678
Mitú,1.1983,-70.1733,78.15,79,71,2.26,1616196563
Tadine,-21.55,167.8833,78.49,75,100,18.97,1616196678
Talavera de la Reina,39.9635,-4.8308,37.33,78,26,10.98,1616196678
Nanortalik,60.1432,-45.2371,32.2,97,100,27.81,1616196510
Sjøvegan,68.8726,17.8474,37.4,75,75,13.8,1616196679
Gisborne,-38.6533,178.0042,64.0,56,100,5.99,1616196679
Chālūs,36.655,51.4204,51.8,87,75,4.61,1616196679
Kahului,20.8947,-156.47,77.0,57,20,24.16,1616196680
Guangzhou,23.1167,113.25,77.0,88,0,2.24,1616196601
Talnakh,69.4865,88.3972,-31.67,82,8,6.64,1616196517
Gushikawa,26.3544,127.8686,71.6,94,1,5.75,1616196680
Paratinga,-12.6906,-43.1842,78.75,59,100,2.84,1616196680
Richards Bay,-28.783,32.0377,71.56,91,3,3.6,1616196681
Ambilobe,-13.2,49.05,73.29,94,99,2.21,1616196681
Huarmey,-10.0681,-78.1522,72.5,76,82,9.62,1616196681
Mehamn,71.0357,27.8492,33.8,80,75,31.07,1616196628
Meulaboh,4.1363,96.1285,75.76,90,96,3.94,1616196682
Campos Novos,-27.4017,-51.225,65.37,77,1,7.61,1616196682
Husavik,66.0449,-17.3389,42.8,56,20,6.91,1616196682
Belaya Gora,68.5333,146.4167,-8.72,84,89,7.45,1616196682
Springbok,-29.6643,17.8865,65.55,48,90,1.61,1616196683
Zhurivka,50.5028,31.7849,32.0,93,90,8.95,1616196683
Bukama,-9.2,25.85,69.48,92,98,2.62,1616196683
Erenhot,43.6475,111.9767,25.0,66,49,23.96,1616196684
Lydenburg,-25.0978,30.4597,71.01,95,0,1.99,1616196684
Wanning,18.8003,110.3967,75.54,89,34,5.75,1616196684
Turukhansk,65.8167,87.9833,-27.06,95,0,8.79,1616196684
Isangel,-19.55,169.2667,84.2,70,75,9.22,1616196685
Corrientes,-27.4806,-58.8341,80.6,65,0,5.75,1616196685
Bolokhovo,54.0936,37.8183,17.11,93,59,5.75,1616196685
Katsuura,35.1333,140.3,55.99,66,33,1.01,1616196685
Kargasok,59.0556,80.8572,21.33,89,100,8.34,1616196686
Bilma,18.6853,12.9164,78.08,17,37,1.61,1616196686
Mbarara,-0.608,30.65,62.29,84,31,1.5,1616196686
San Patricio,28.017,-97.5169,75.2,19,1,11.5,1616196687
Nong’an,44.382,125.1685,37.0,64,90,2.24,1616196687
Impfondo,1.6381,18.0667,71.82,97,82,2.66,1616196687
Carnot,4.9409,15.8665,70.38,89,82,2.59,1616196662
Lázaro Cárdenas,17.9583,-102.2,81.64,57,0,9.69,1616196688
Buala,-8.145,159.5921,86.58,64,81,3.2,1616196688
Havre-St-Pierre,50.2334,-63.5986,15.8,38,1,18.41,1616196688
Niamey,13.5137,2.1098,87.8,13,36,2.3,1616196688
Mabaruma,8.2,-59.7833,71.64,86,52,3.31,1616196689
Ghanzi,-21.5667,21.7833,70.63,48,9,6.29,1616196689
Port Hardy,50.6996,-127.4199,48.2,81,75,10.36,1616196546
Assiniboia,49.6334,-105.9845,66.2,20,44,11.5,1616196689
Duvan,55.695,57.9024,19.51,95,85,2.64,1616196690
Half Moon Bay,37.4636,-122.4286,60.8,87,1,11.5,1616196690
Pitimbu,-7.4706,-34.8086,78.8,83,75,8.05,1616196690
Naze,28.3667,129.4833,73.4,78,75,16.11,1616196474
Areni,39.7191,45.1799,35.6,64,20,11.5,1616196690
Sarangani,5.4033,125.4636,82.42,72,94,3.06,1616196691
Rybachiy,48.7073,44.7449,32.0,80,20,13.42,1616196691
Malazgirt,39.1427,42.5401,24.42,80,49,2.55,1616196691
Touros,-5.1989,-35.4608,78.8,83,20,3.44,1616196692
Ocampo,21.65,-101.5,84.0,17,61,14.83,1616196692
Três de Maio,-27.7733,-54.24,77.0,83,42,9.69,1616196692
Grand Gaube,-20.0064,57.6608,75.0,92,4,1.01,1616196692
Phalaborwa,-23.943,31.1411,73.4,88,8,3.44,1616196693
Cidreira,-30.1811,-50.2056,74.34,74,62,18.19,1616196693
Ancud,-41.8697,-73.8203,57.0,71,40,8.05,1616196563
Pascagoula,30.3658,-88.5561,57.2,58,90,11.5,1616196693
